code_naf,activite
01.1A,Culture de céréales ; cultures industrielles
01.1C,Culture de légumes ; maraîchage
01.1D,Horticulture ; pépinières
01.1F,Culture fruitière
01.1G,Viticulture
01.2A,Élevage de bovins
01.2C,"Élevage d'ovins, caprins et équidés"
01.2E,Élevage de porcins
01.2G,Élevage de volailles
01.2J,Élevage d'autres animaux
01.3Z,Culture et élevage associés
01.4A,Services aux cultures productives
01.4B,Réalisation et entretien de plantations ornementales
01.4D,Services annexes à l'élevage
01.5Z,Chasse
02.0A,Sylviculture
02.0B,Exploitation forestière
02.0D,Services forestiers
05.0A,Pêche
05.0C,"Pisciculture, aquaculture"
10.1Z,Extraction et agglomération de la houille
10.2Z,Extraction et agglomération du lignite
10.3Z,Extraction et agglomération de la tourbe
11.1Z,Extraction d'hydrocarbures
11.2Z,Services annexes à l'extraction d'hydrocarbures
12.0Z,Extraction de minerais d'uranium
13.1Z,Extraction de minerais de fer
13.2Z,Extraction de minerais de métaux non ferreux
14.1A,Extraction de pierres ornementales et de construction
14.1C,"Extraction de calcaire industriel, de gypse et de craie"
14.1E,Extraction d'ardoise
14.2A,Production de sables et de granulats
14.2C,Extraction d'argiles et de kaolin
14.3Z,Extraction de minéraux pour l'industrie chimique et d'engrais naturels
14.4Z,Production de sel
14.5Z,Activités extractives n.c.a.
15.1A,Production de viandes de boucherie
15.1C,Production de viandes de volailles
15.1E,Préparation industrielle de produits à base de viandes
15.1F,Charcuterie
15.2Z,Industrie du poisson
15.3A,Transformation et conservation de pommes de terre
15.3C,Préparation de jus de fruits et légumes
15.3E,Transformation et conservation de légumes
15.3F,Transformation et conservation de fruits
15.4A,Fabrication d'huiles et graisses brutes
15.4C,Fabrication d'huiles et graisses raffinées
15.4E,Fabrication de margarine
15.5A,Fabrication de lait liquide et de produits frais
15.5B,Fabrication de beurre
15.5C,Fabrication de fromages
15.5D,Fabrication d'autres produits laitiers
15.5F,Fabrication de glaces et sorbets
15.6A,Meunerie
15.6B,Autres activités de travail des grains
15.6D,Fabrication de produits amylacés
15.7A,Fabrication d'aliments pour animaux de ferme
15.7C,Fabrication d'aliments pour animaux de compagnie
15.8A,Fabrication industrielle de pain et de pâtisserie fraîche
15.8B,Cuisson de produits de boulangerie
15.8C,Boulangerie et boulangerie-pâtisserie
15.8D,Pâtisserie
15.8F,"Biscotterie, biscuiterie, pâtisserie de conservation"
15.8H,Fabrication de sucre
15.8K,"Chocolaterie, confiserie"
15.8M,Fabrication de pâtes alimentaires
15.8P,Transformation du thé et du café
15.8R,Fabrication de condiments et assaisonnements
15.8T,Fabrication d'aliments adaptés à l'enfant et diététiques
15.8V,Industries alimentaires n.c.a.
15.9A,Production d'eaux de vie naturelles
15.9B,Fabrication de spiritueux
15.9D,Production d'alcool éthylique de fermentation
15.9F,Champagnisation
15.9G,Vinification
15.9J,Cidrerie
15.9L,Production d'autres boissons fermentées
15.9N,Brasserie
15.9Q,Malterie
15.9S,Industrie des eaux de table
15.9T,Production de boissons rafraîchissantes
16.0Z,Industrie du tabac
17.1A,Filature de l'industrie cotonnière
17.1C,Filature de l'industrie lainière - cycle cardé
17.1E,Préparation de la laine
17.1F,Filature de l'industrie lainière - cycle peigné
17.1H,Préparation et filature du lin
17.1K,Moulinage et texturation de la soie et des textiles artificiels ou synthétiques
17.1M,Fabrication de fils à coudre
17.1P,Préparation et filature d'autres fibres
17.2A,Tissage de l'industrie cotonnière
17.2C,Tissage de l'industrie lainière - cycle cardé
17.2E,Tissage de l'industrie lainière - cycle peigné
17.2G,Tissage de soieries
17.2J,Tissage d'autres textiles
17.3Z,Ennoblissement textile
17.4A,Fabrication de linge de maison et d'articles d'ameublement
17.4B,Fabrication de petits articles textiles de literie
17.4C,Fabrication d'autres articles confectionnés en textile
17.5A,Fabrication de tapis et moquettes
17.5C,"Ficellerie, corderie, fabrication de filets"
17.5E,Fabrication de non-tissés
17.5G,Industries textiles n.c.a.
17.5G,Industrie textile n.c.a.
17.6Z,Fabrication d'étoffes à mailles
17.7A,Fabrication de bas et chaussettes
17.7C,Fabrication de pull-overs et articles similaires
18.1Z,Fabrication de vêtements en cuir
18.2A,Fabrication de vêtements de travail
18.2C,Fabrication de vêtements sur mesure
18.2D,Fabrication de vêtements de dessus pour hommes et garçonnets
18.2E,Fabrication de vêtements de dessus pour femmes et fillettes
18.2G,Fabrication de vêtements de dessous
